"catalogNumber","recordNumber","source","surveyname","dateaccuracy","recordedBy","otherCatalogNumbers","reliabdesc","easting","northing","decimalLatitude","decimalLongitude","nsxcode","scientificName","family","vernacularName","eventRemarks","habitat","verbatimLocality","reservename","language","rightsHolder","datasetName","institutionCode","country","countryCode","stateProvince","kingdom","occurrenceStatus","basisOfRecord","verbatimEventDate","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimIdentification","eventDate","establishmentMeans","geodeticDatum","identificationVerificationStatus","organismQuantity","organismQuantityType"
"SUP16775-20997","SUP16775-20997","SU","ANANGU PITJANTJATJARA LANDS","D","CANTY P.D. Peter | LANG P.J. Peter","","51-100m",296409,7021822,-26.91056,132.94987,"Y03188","Rhodanthe stricta","COMPOSITAE","Slender Everlasting","","","","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","27/10/98",-26.91056,132.94987,"decimal degrees","Rhodanthe stricta","1998-10-27","native","EPSG:20253","verified",,
"RVPO23408-101173","RVPO23408-101173","RV","","D","OBST C.S. Chris | TELFER S. Sarah","","251-500m",312706,6162700,-34.66054122,138.9560615,"K03913","Avena barbata","GRAMINEAE","Bearded Oat","Collected using the DEWNR Roadside Vegetation Survey Methodology","Mixed Grassland dominated by alien grass species","Tower RD 4.6 km SSW of Pewsey Vale","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","24/11/99",-34.66054122,138.9560615,"decimal degrees","Avena barbata","1999-11-24","introduced","EPSG:20254","verification required",,
"OPP848088-2","OPP848088-2","OP","GAB SPRING VEG MONITORING - WMC/BHPB","D","SOLLY K. Kimberley","","0-5m",726856,6738351,-29.46378,137.3393,"C00493","Cyperus laevigatus","CYPERACEAE","Bore-drain Sedge","","","Gosse Springs Group (Spring Code LGS001) approx 15km NW of Borefield Road/Oodnadatta Track intersection and approx 11km N of Oodnadatta Track. Within Gosse Springs SEB Area","1545 (HA)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","7/8/18",-29.46378,137.3393,"decimal degrees","Cyperus laevigatus","2018-08-07","native","EPSG:20253","verified",35,"individuals"
"SUP21033-129629-AD183774","SUP21033-129629-AD183774","SU","MID NORTH AND YORKE PENINSULA","D","NEAGLE N.R. Nick | TURNER J. Jean","AD183774","5-50m",312048,6238133,-33.98057,138.96536,"W01179","Einadia nutans ssp. nutans","CHENOPODIACEAE","Climbing Saltbush","","","450 m east of gate at Webb Gap saddle is a wire gate on south side of road providing access to a small clearing. An old track leads south from this 150 m along this to site in Eucalyptus odorata mallee.","669 (HA)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","24/10/03",-33.98057,138.96536,"decimal degrees","Einadia nutans ssp. nutans","2003-10-24","native","EPSG:20254","verified",,
"OPP517737-3","OPP517737-3","OP","PARA WOODLANDS RESTORATION PROJECT","D","MOISE D.M. Dragos","","501-1000m",297012,6166323,-34.62491,138.78577,"E10950","Austrostipa sp.","GRAMINEAE","Spear-grass","Number Observed = 1.","","Para Woodlands Reserve:Yaringa Block MU 1e","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","18/1/12",-34.62491,138.78577,"decimal degrees","Austrostipa sp.","2012-01-18","native","EPSG:20254","verified",,
"RVPU12816-7461","RVPU12816-7461","RV","","D","PLAYFAIR R.M. Roger | PARRY K. Karen","","501-1000m",239253,6381772,-32.67096707,138.2194893,"E01154","Atriplex stipitata","CHENOPODIACEAE","Bitter Saltbush","Collected using the DEWNR Roadside Vegetation Survey Methodology","Acacia victoriae Shrubland","John Knights RD 10.3 km WNW of Willowie","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","23/11/98",-32.67096707,138.2194893,"decimal degrees","Atriplex stipitata","1998-11-23","native","EPSG:20254","verification required",,
"RVPU41064-48806","RVPU41064-48806","RV","","D","CLARK P.D. Peter | HIGGINS G.M. Graeme","","101-250m",616290,6324001,-33.21665252,136.2478854,"G00947","Exocarpos syrticola","SANTALACEAE","Coast Cherry","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus oleosa / E. anceps Mallee","Eyre Highway HWY 9.8 km WSW of Solomon","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","11/3/01",-33.21665252,136.2478854,"decimal degrees","Exocarpos syrticola","2001-03-11","native","EPSG:20253","verification required",,
"OPP620103-124","OPP620103-124","OP","DEWNR FIRE MANAGEMENT RAMBLE OBS","D","PICKETT M.I. Marcus","","501-1000m",291500,6136300,-34.89433,138.71825,"E15110","Orchidaceae sp.","ORCHIDACEAE","Orchid Family","","","Morialta (Chapman Track) A15","Morialta (CP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","22/3/13",-34.89433,138.71825,"decimal degrees","Orchidaceae sp.","2013-03-22","native","EPSG:20254","verified",,
"SUP8091-19","SUP8091-19","SU","FLINDERS MANAGEMENT REVIEW","D","NOT ENTERED - SEE ORIGINAL DATA  -","","",295923,6591579,-30.79133,138.86718,"M01642","Senna artemisioides ssp. X artemisioides","LEGUMINOSAE","Silver Senna","","","4km W from Waukawoodna Gap.","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","26/8/91",-30.79133,138.86718,"decimal degrees","Senna artemisioides ssp. X artemisioides","1991-08-26","native","EPSG:20254","verified",,
"RVPU77934-115181","RVPU77934-115181","RV","","D","SUTHERLAND R.L. Robyn | TELFER S. Sarah","","1-10km",371867,6202176,-34.31376491,139.6074087,"E10950","Austrostipa sp.","GRAMINEAE","Spear-grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Stipa  spp. Grassland","Morgan - Blanchetown RD 4 km SSW of McBean Pound","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","29/2/04",-34.31376491,139.6074087,"decimal degrees","Austrostipa sp.","2004-02-29","native","EPSG:20254","verification required",,
"SUP16169-19815","SUP16169-19815","SU","ANANGU PITJANTJATJARA LANDS","D","CANTY P.D. Peter | LANG P.J. Peter","","51-100m",245125,7115033,-26.06134,132.45242,"W00183","Eriachne mucronata","GRAMINEAE","Mountain Wanderrie","","","Rock-wallaby colony.","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","25/10/97",-26.06134,132.45242,"decimal degrees","Eriachne mucronata","1997-10-25","native","EPSG:20253","verified",,
"RVPO91109-411977","RVPO91109-411977","RV","","D","GRIFFIN C. Clare | EDWARDS J.S. Jeff","","501-1000m",765814,6217199,-34.1523166,137.8830982,"G03267","Asteriscus spinosus","COMPOSITAE","Golden Pallensis","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus odorata +/- E. porosa +/- E. phenax +/- E. socialis Woodland","Gardiners RD 3.7 km SSW of Kainton","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","10/3/09",-34.1523166,137.8830982,"decimal degrees","Asteriscus spinosus","2009-03-10","introduced","EPSG:20253","verification required",,
"SUP2005-4","SUP2005-4","SU","MURRAY MALLEE MANAGEMENT PLAN","D","BARRATT R.R. Rick | NIXON C.L. Craig | WILLIAMS S. Stephanie","","51-100m",403257,6175518,-34.55753,139.94549,"A04920","Boronia coerulescens ssp. coerulescens","RUTACEAE","Blue Boronia","","","15km N from Galga.","538 (HA)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","12/7/90",-34.55753,139.94549,"decimal degrees","Boronia coerulescens ssp. coerulescens","1990-07-12","native","EPSG:20254","verified",,
"SUP7510-48","SUP7510-48","SU","GAWLER","D","CANTY P.D. Peter","","0-5m",533529,6405718,-32.48527,135.35686,"M03382","Callitris gracilis","CUPRESSACEAE","Southern Cypress Pine","","","45.5 km NNE from Minnipa.","Gawler Ranges (NP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","13/10/85",-32.48527,135.35686,"decimal degrees","Callitris gracilis","1985-10-13","native","EPSG:20253","verified",,
"OPP423558-11","OPP423558-11","OP","MURRAY WETL'D ONGOING SAMDB NRMB","D","STEGGLES T.A. Tracey","","5-50m",439414,6220184,-34.15751,140.34272,"Z02815","Plantago drummondii","PLANTAGINACEAE","Dark Plantain","","","","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","11/1/07",-34.15751,140.34272,"decimal degrees","Plantago drummondii","2007-01-11","native","EPSG:20254","verified",,
"SUP14841-8","SUP14841-8","SU","LOWER FLINDERS RANGES","D","PLAYFAIR R.M. Roger | ROTHE (EX LAVER) S.M. Samantha","","5-50m",355494,6360865,-32.88084,139.45524,"K01721","Medicago minima","LEGUMINOSAE","Little Medic","","","","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","7/10/96",-32.88084,139.45524,"decimal degrees","Medicago minima","1996-10-07","introduced","EPSG:20254","verified",,
"OPP463161-1","OPP463161-1","OP","AMLR HISTORICAL NRMB WEEDS","D","AMLR OPERATIONS DEWNR DEWNR","","5-50m",294147,6143635,-34.82877,138.749,"W30123","Asparagus asparagoides f. Western Cape (R.Taplin 1133)","LILIACEAE","Bridal Creeper","","","","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","21/9/12",-34.82877,138.749,"decimal degrees","Asparagus asparagoides f. Western Cape (R.Taplin 1133)","2012-09-21","introduced","EPSG:20254","verified",,
"RVPO57019-242878","RVPO57019-242878","RV","","D","PRYDE C. A. Cathy | ANDERSON R.J. Bob","","1-10km",450183,5830284,-37.67328418,140.435091,"U01426","Hirschfeldia incana","CRUCIFERAE","Hoary Mustard","Collected using the DEWNR Roadside Vegetation Survey Methodology","Anthropogenic Grassland / Herbland","Mount Gambier to Millicent RAIL 3.2 km NNW of Tantanoola","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","26/9/02",-37.67328418,140.435091,"decimal degrees","Hirschfeldia incana","2002-09-26","introduced","EPSG:20254","verification required",,
"OPP930374-18","OPP930374-18","OP","BDBSA RESERVES DATABASE","M","MURFET D.E. Denzel | TAPLIN R.L. Rosemary","","1-10km",289150,6096470,-35.25271,138.68242,"G02131","Pimelea linifolia ssp. linifolia","THYMELAEACEAE","Slender Riceflower","","","","Bells Gully (CA)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","1/6/99",-35.25271,138.68242,"decimal degrees","Pimelea linifolia ssp. linifolia","1999-06","native","EPSG:20254","verified",,
"OPP739924-88","OPP739924-88","OP","DEWNR FIRE MANAGEMENT RAMBLE OBS","D","PICKETT M.I. Marcus","","501-1000m",293700,6142700,-34.83711,138.74389,"M05970","Convolvulus angustissimus ssp.","CONVOLVULACEAE","Narrow-leaf Bindweed","","See other comments","Anstey Hill (Newmans Track) A20 B2 FIMS 121 (1.9 km SW of Houghton)","Anstey Hill (RP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","13/10/17",-34.83711,138.74389,"decimal degrees","Convolvulus angustissimus ssp.","2017-10-13","native","EPSG:20254","verified",,
"RVPO13290-52358","RVPO13290-52358","RV","","D","PLAYFAIR R.M. Roger | PARRY K. Karen","","1-10km",242640,6370421,-32.77403906,138.2524321,"M20166","Salvia verbenaca var.","LABIATAE","Wild Sage","Collected using the DEWNR Roadside Vegetation Survey Methodology","Acacia victoriae Shrubland","Melrose - Orroroo RD 8.3 km ENE of Melrose","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","30/11/98",-32.77403906,138.2524321,"decimal degrees","Salvia verbenaca var.","1998-11-30","introduced","EPSG:20254","verification required",,
"RVPO86839-393209","RVPO86839-393209","RV","","D","O'NEILL S. Sally | FRAZER D.S. Deb","","1-10km",319157,6293136,-33.48601302,139.0535076,"E01154","Atriplex stipitata","CHENOPODIACEAE","Bitter Saltbush","Collected using the DEWNR Roadside Vegetation Survey Methodology","Maireana aphylla +/-Atriplex stipitata Shrubland","Dust Hole Creek RD 3.9 km ENE of Sugarloaf Hill (summit)","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","8/5/08",-33.48601302,139.0535076,"decimal degrees","Atriplex stipitata","2008-05-08","native","EPSG:20254","verification required",,
"OPP927220-33","OPP927220-33","OP","PINERY FIRE AREA FLORA AND FAUNA","M","SHACKLEY A. Adrian","","251-500m",281813,6191929,-34.39106,138.62665,"C05377","Sporobolus virginicus","GRAMINEAE","Salt Couch","Uncultivated bank has good presence of natives grasses herbs shrubs plus weeds (including annual grasses horehound wild mustard). Riverbed good range of mainly native species associated with rocky bed.  Area all burnt in Pinery Fire Nov 2015.","","Parcel ID: D53248 A99 Hd of Grace  Light River  N bank uncultivated steep slope just west of Murphy Road","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","8/11/17",-34.39106,138.62665,"decimal degrees","Sporobolus virginicus","2017-11","native","EPSG:20254","verified",,
"SUP6916-17","SUP6916-17","SU","MT LOFTY","D","KING F. Fleur","","No entered",314302,6153348,-34.74512,138.97141,"A00936","Isopogon ceratophyllus","PROTEACEAE","Horny Cone-bush","","","","Waterholes (CA)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","2/6/86",-34.74512,138.97141,"decimal degrees","Isopogon ceratophyllus","1986-06-02","native","EPSG:20254","verified",,
"RVPO93170-420796","RVPO93170-420796","RV","","D","GRIFFIN C. Clare | EDWARDS J.S. Jeff","","101-250m",743115,6210948,-34.21416505,137.6388973,"K03913","Avena barbata","GRAMINEAE","Bearded Oat","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus incrassata +/- E. brachycalyx +/- E. oleosa +/- E. phenax +/- E. socialis Mallee","Moonta-Maitland RD 3.1 km NNW of Weetulta","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","8/4/09",-34.21416505,137.6388973,"decimal degrees","Avena barbata","2009-04-08","introduced","EPSG:20253","verification required",,
"RVPO22114-94350","RVPO22114-94350","RV","","D","OBST C.S. Chris | TELFER S. Sarah","","501-1000m",319140,6186760,-34.44485184,139.0313499,"U00210","Bromus catharticus","GRAMINEAE","Prairie Grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Mixed Grassland dominated by alien grass species","Pipeline RD 2.3 km WSW of Stockwell","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","17/11/99",-34.44485184,139.0313499,"decimal degrees","Bromus catharticus","1999-11-17","introduced","EPSG:20254","verification required",,
"SUP26681-208379","SUP26681-208379","SU","REVEGETATION MONITORING - AC ROBINSON","D","ROBINSON A.C. Tony","","5-50m",671329,6024729,-35.90675,136.89862,"C02325","Glischrocaryon behrii","HALORAGACEAE","Golden Pennants","","","","424 (HA)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","25/11/04",-35.90675,136.89862,"decimal degrees","Glischrocaryon behrii","2004-11-25","native","EPSG:20253","verified",,
"RVPO85645-387889","RVPO85645-387889","RV","","D","FRAZER D.S. Deb | OBST C.S. Chris","","251-500m",463230,5850979,-37.4873654,140.5840741,"Y00736","Moraea setifolia","IRIDACEAE","Thread Iris","Collected using the DEWNR Roadside Vegetation Survey Methodology","Exotic Grassland","Mules LANE 7.5 km SSE of Wattle Range","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","20/8/07",-37.4873654,140.5840741,"decimal degrees","Moraea setifolia","2007-08-20","introduced","EPSG:20254","verification required",,
"OPP785063-2","OPP785063-2","OP","KATARAPKO FLOODPLAIN VEGETATION SURVEY","D","ARMSTRONG D.M. David","","5-50m",457276,6196871,-34.36864,140.53534,"A01276","Alternanthera nodiflora","AMARANTHACEAE","Common Joyweed","","","Katarapko Floodplain","Murray River (NP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","11/4/17",-34.36864,140.53534,"decimal degrees","Alternanthera nodiflora","2017-04-11","native","EPSG:20254","verified",1,"individuals"
"RVPU58465-73291","RVPU58465-73291","RV","","D","ANNELLS A. Alison | BATEMAN T.V. Teresa","","501-1000m",287354,6185881,-34.44671758,138.6853804,"E10950","Austrostipa sp.","GRAMINEAE","Spear-grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eremophila longifolia Tall Shrubland","Harris RD 2.6 km WSW of Magdala","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","27/5/02",-34.44671758,138.6853804,"decimal degrees","Austrostipa sp.","2002-05-27","native","EPSG:20254","verification required",,
"RVPO77883-348043","RVPO77883-348043","RV","","D","SUTHERLAND R.L. Robyn | TELFER S. Sarah","","1-10km",371887,6202174,-34.31378169,139.6076266,"M00666","Asphodelus fistulosus","LILIACEAE","Onion Weed","Collected using the DEWNR Roadside Vegetation Survey Methodology","Herbland dominated by both exotic and native species","Morgan - Blanchetown RD 3.9 km SSW of McBean Pound","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","29/2/04",-34.31378169,139.6076266,"decimal degrees","Asphodelus fistulosus","2004-02-29","introduced","EPSG:20254","verification required",,
"SUP19590-112504","SUP19590-112504","SU","RIVER MURRAY","D","HALL R.M. Rebecca | KAJAR L.A. Lynne","","5-50m",404164,6219354,-34.16235,139.96027,"Y01924","Chamaesyce drummondii (NC)","EUPHORBIACEAE","Caustic Weed","","","From Waikerie travel approximately 3.3 km heading towards Cadell/Morgan Road Parkes Land on left. Travel a further 200m to sign 'No through Road' on right. At 600 m cross over ford and follow red dirt road a further 700 m do not take right fork along grey clay road. Site approximately 100 m from","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","22/10/02",-34.16235,139.96027,"decimal degrees","Chamaesyce drummondii (NC)","2002-10-22","native","EPSG:20254","verified",,
"OPP399015-11","OPP399015-11","OP","MOKOTA CP VEGETATION MONITORING","D","HASTWELL G. Graeme | ROBERTSON M.A. Meg","","5-50m",310989,6285972,-33.54918,138.96413,"E00282","Rostraria cristata","GRAMINEAE","Annual Cat's-tail","Present in 16 subquadrats","","Mokota Conservation Park northeastern section off White Hill Road","Mokota (CP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","15/11/01",-33.54918,138.96413,"decimal degrees","Rostraria cristata","2001-11-15","introduced","EPSG:20254","verified",,
"SUP746-26","SUP746-26","SU","NULLARBOR","D","ROBINSON A.C. Tony | JACKSON E.N.S. Eric","","0-5m",625179,6514855,-31.49437,130.31804,"Y01412","Carrichtera annua","CRUCIFERAE","Ward's Weed","","","43 km SE from Koonalda Stn.","Nullarbor (WA)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","18/9/84",-31.49437,130.31804,"decimal degrees","Carrichtera annua","1984-09-18","introduced","EPSG:20252","verified",,
"RVPU21987-19696","RVPU21987-19696","RV","","D","PLAYFAIR R.M. Roger | OBST C.S. Chris","","251-500m",319857,6176441,-34.53798085,139.0369786,"W20003","Acacia retinodes var. (NC)","LEGUMINOSAE","Silver Wattle","Collected using the DEWNR Roadside Vegetation Survey Methodology","E.viminalis ssp. cygnetensis ? E.leucoxylon Woodland with sclerophyllous understorey","Long Gully RD 3.9 km ESE of Vine Vale","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","16/11/99",-34.53798085,139.0369786,"decimal degrees","Acacia retinodes var. (NC)","1999-11-16","native","EPSG:20254","verification required",,
"OPP932597-1","OPP932597-1","OP","PARA WOODLANDS RESTORATION PROJECT","D","EYLANDER G. Ginenne","","5-50m",297059,6166057,-34.62731,138.78622,"G02679","Solanum elaeagnifolium","SOLANACEAE","Silver-leaf Nightshade","","","Yaringa Block MU 1e","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","10/1/18",-34.62731,138.78622,"decimal degrees","Solanum elaeagnifolium","2018-01-10","introduced","EPSG:20254","verified",,
"OPP565384-8","OPP565384-8","OP","WESTERN MURRAY MALLEE LAF FIELDWORK","D","MILNE T.I. Tim | CROFT T.S. Tim | TELFER S. Sarah","","251-500m",361498,6191724,-34.40666,139.49306,"C01189","Maireana enchylaenoides","CHENOPODIACEAE","Wingless Fissure-plant","","","|Source ProjectID:17|Source WaypointID:8819||Attribute Notes:Mature Myop and some bullock bush sparse but mature woody shrubs wards weed onion weed no saltbush no grass.|","1412 (HA)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","1/5/15",-34.40666,139.49306,"decimal degrees","Maireana enchylaenoides","2015-05-01","native","EPSG:20254","verified",,
"RVPU68315-89801","RVPU68315-89801","RV","","D","CLARK P.D. Peter | HIGGINS G.M. Graeme","","251-500m",288151,6124475,-35.00018076,138.6786278,"Y10088","Arthropodium sp.","LILIACEAE","Vanilla-lily","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus viminalis ssp. viminalis Woodland","Charlick Hill Road RD 0.6 km WSW of Crafers West (suburb centre)","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","23/9/03",-35.00018076,138.6786278,"decimal degrees","Arthropodium sp.","2003-09-23","native","EPSG:20254","verification required",,
"OPP295815-1783539","OPP295815-1783539","OP","THREATENED ORCHID MONITORING (SE)","D","PRITCHARD A. Andrew | NOT ENTERED - N/A IN ORIGINAL DATA","","5-50m",406465,5893904,-37.0965,139.94745,"M00850","Pterostylis tenuissima","ORCHIDACEAE","Swamp Greenhood","Total Number of Plants - 25Number of Flowering Plants - Number of Plants in BudNumber of Sterile (Leaf Only) Plants - 25","","West Dairy Range - PP-2- SAGPS ref 332","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","16/1/01",-37.0965,139.94745,"decimal degrees","Pterostylis tenuissima","2001-01-16","native","EPSG:20254","verified",,
"OPP284128-1808503","OPP284128-1808503","OP","LOFTY BLOCK EPBC THREATENED ORCHIDS","D","NOSSA  Native Orchid Society of Sou | HIGGINS G.M. Mick","","5-50m",229761,6368320,-32.78987,138.11447,"W05163","Caladenia woolcockiorum","ORCHIDACEAE","Woolcock's Spider-orchid","General Comment= PLANTSNUMB= 2; BUFFER= 0.5m;","","Mambray Creek Track Mt Remarkable NP","Mount Remarkable (NP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","12/9/08",-32.78987,138.11447,"decimal degrees","Caladenia woolcockiorum","2008-09-12","native","EPSG:20254","verified",,
"SUP17408-59706","SUP17408-59706","SU","FLINDERS RANGES","D","TELFER W.R. Wendy | OATS C. Christine","","101-250m",225462,6376019,-32.71945,138.07089,"Y00680","Lomandra densiflora","LILIACEAE","Soft Tussock Mat-rush","","","Also fire monitoring site N8/1 and 1982 pitline 11.","Mount Remarkable (NP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","22/11/99",-32.71945,138.07089,"decimal degrees","Lomandra densiflora","1999-11-22","native","EPSG:20254","verified",,
"RVPO13776-55242","RVPO13776-55242","RV","","D","O'CONNOR P.J. Patrick | MIBUS R. RAELENE","","501-1000m",367955,6136893,-34.90180882,139.554731,"Z01935","Euphorbia terracina","EUPHORBIACEAE","False Caper","Collected using the DEWNR Roadside Vegetation Survey Methodology","Herbland dominated by exotic species","Mannum to Bow Hill RD 0.9 km SSW of Teal Flat","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","10/12/98",-34.90180882,139.554731,"decimal degrees","Euphorbia terracina","1998-12-10","introduced","EPSG:20254","verification required",,
"OPP874420-2","OPP874420-2","OP","MISC. OPPORTUNE RECORDS","D","MCCALLUM K.P. Kimberly","","5-50m",780706,6422557,-32.29865,137.98096,"E01606","Acacia quornensis","LEGUMINOSAE","Quorn Wattle","","","","The Dutchmans Stern (CP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","23/2/15",-32.29865,137.98096,"decimal degrees","Acacia quornensis","2015-02-23","native","EPSG:20253","verified",82,"individuals"
"SUP15935-19","SUP15935-19","SU","COASTAL DUNE & CLIFFTOP","D","SANDERCOCK R.K. Ron | HAGAN V.C. Vicki","","5-50m",247722,6066686,-35.51138,138.2183,"M00226","Catapodium rigidum","GRAMINEAE","Rigid Fescue","","","Site on steeply sloping cliff face 120m from carpark and 5m down from common track above change in scarp.","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","21/10/97",-35.51138,138.2183,"decimal degrees","Catapodium rigidum","1997-10-21","introduced","EPSG:20254","verified",,
"RVPO3658-13886","RVPO3658-13886","RV","","D","CLARK P. Pat | CLARK P.R. Peter | STOKES A.L. Adrian","","101-250m",292557,6142052,-34.84271269,138.7312292,"C15065","Gramineae sp.","GRAMINEAE","Grass Family","Collected using the DEWNR Roadside Vegetation Survey Methodology","Grassland dominated by exotic species","Lower North East RD 0.3 km WSW of Anstey Hill (summit)","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","25/11/97",-34.84271269,138.7312292,"decimal degrees","Gramineae sp.","1997-11-25","native","EPSG:20254","verification required",,
"SUP8200-20","SUP8200-20","SU","SOUTH OLARY PLAINS","D","PEACOCK D.E. David | SYMON D.E. David","","5-50m",402922,6346778,-33.01313,139.96067,"M15166","Moss sp.","Major Group only -Mosses","","","","1.6 km NW from Staker Dam.","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","24/7/91",-33.01313,139.96067,"decimal degrees","Moss sp.","1991-07-24","native","EPSG:20254","verified",,
"SUP14555-30","SUP14555-30","SU","COASTAL DUNE & CLIFFTOP","D","FURNER R.T. Bob | VOM BERG F.L. Fiona","","51-100m",658524,6010059,-36.04111,136.75971,"Z02011","Dodonaea humilis","SAPINDACEAE","Dwarf Hop-bush","","","See map.","Flinders Chase (NP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","2/9/96",-36.04111,136.75971,"decimal degrees","Dodonaea humilis","1996-09-02","native","EPSG:20253","verified",,
